Study ID,Title,Is the paper based on research (or is it a discussion paper based on expert opinion)?,Main Research Method,QA1,QA2,QA3,QA4,QA5,QA6,QA7,QA8,QA9,QA10,Score QA1,Score QA2,Score QA3,Score QA4,Score QA5,Score QA6,Score QA7,Score QA8,Score QA9,Score QA10,Final Score Calculation,Final Score
Zeng 2015,CloudSky: A controllable data self-destruction system for untrusted cloud storage networks,Yes,Experiment,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,1,1,1,1,1,1,1,0,1,1,100 x 9/10 = 90,90
Somani 2016,DDoS attacks in cloud computing: Collateral damage to non-targets,Yes,Experiment,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,1,1,1,1,1,1,1,0,1,1,100 x 9/10 = 90,90
Qiu 2021,A User-Centric Data Protection Method for Cloud Storage Based on Invertible DWT,Yes,Experiment,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,1,1,1,1,1,1,1,0,1,1,100 x 9/10 = 90,90
Li 2021,Identity-Based Privacy Preserving Remote Data Integrity Checking for Cloud Storage,Yes,Experiment,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,1,1,1,1,1,1,1,0,1,1,100 x 9/10 = 90,90
Tang 2017,Towards a trust evaluation middleware for cloud service selection,Yes,Experiment,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,1,1,1,1,1,1,1,0,1,1,100 x 9/10 = 90,90
Zahoor 2022,A Formal Approach for the Identification of Authorization Policy Conflicts within Multi-Cloud Environments,Yes,Experiment,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,1,1,1,1,1,1,1,0,1,1,100 x 9/10 = 90,90
Atya 2019,Catch Me if You Can: A Closer Look at Malicious Co-Residency on the Cloud,Yes,Experiment,Yes,Yes,Yes,#NA,Yes,Yes,Yes,No,Yes,Yes,1,1,1,NA,1,1,1,0,1,1,100 x 8/9 = 88.9,88.9
Sajjad 2015,A scalable and dynamic application-level secure communication framework for inter-cloud services,Yes,Experiment,Yes,Yes,Yes,Yes,Yes,Yes,Partly,No,Yes,Yes,1,1,1,1,1,1,0.5,0,1,1,100 x 8.5/10 = 85,85
Majumdar 2022,ProSAS: Proactive Security Auditing System for Clouds,Yes,Experiment,Partly,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,0.5,1,1,1,1,1,1,0,1,1,100 x 8.5/10 = 85,85
Razaque 2017,Privacy preserving model: a new scheme for auditing cloud stakeholders,Yes,Experiment,Yes,Yes,Yes,Yes,Partly,Yes,Yes,No,Yes,Yes,1,1,1,1,0.5,1,1,0,1,1,100 x 8.5/10 = 85,85
Lakshmi 2021,Collusion resistant secret sharing scheme for secure data storage and processing over cloud,Yes,Experiment,Partly,Yes,Yes,Yes,Yes,Yes,Yes,No,Partly,Yes,0.5,1,1,1,1,1,1,0,0.5,1,100 x 8/10 = 80,80
Yu 2015,Remote data possession checking with enhanced security for cloud storage,Yes,Experiment,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,1,1,1,1,1,1,1,0,0,1,100 x 8/10 = 80,80
Lenkala 2013,Security risk assessment of cloud carrier,Yes,Experiment,Partly,Yes,Yes,Yes,Yes,Yes,Yes,No,Partly,Yes,0.5,1,1,1,1,1,1,0,0.5,1,100 x 8/10 = 80,80
Pauley 2022,Measuring and Mitigating the Risk of IP Reuse on Public Clouds,Yes,Experiment,Yes,Yes,Yes,Yes,Partly,Yes,Yes,No,Partly,Yes,1,1,1,1,0.5,1,1,0,0.5,1,100 x 8/10 = 80,80
Ruan 2019,A trust management framework for clouds,Yes,Experiment,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,1,1,1,1,0,1,1,0,1,1,100 x 8/10 = 80,80
