title,year,source_title,doi,rank,publisher,event,source_type,holding_publisher,title_vote_haq,title_vote_anand,title_vote_final,title_verdict,has_abstract,abstract_verdict,has_fulltext,fulltext_verdict,exclusion_reason
CloudSky: A controllable data self-destruction system for untrusted cloud storage networks,2015,"Proceedings - 2015 IEEE/ACM 15th International Symposium on Cluster, Cloud, and Grid Computing, CCGrid 2015",10.1109/CCGrid.2015.12,A,IEEE,"2015 15th IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing (CCGrid)",conference proceeding,IEEE,y,y,Agree - Yes,Relevant,Yes,Relevant,Yes,Included,
Security risk assessment of cloud carrier,2013,"Proceedings - 13th IEEE/ACM International Symposium on Cluster, Cloud, and Grid Computing, CCGrid 2013",10.1109/CCGrid.2013.28,A,IEEE,"2013 13th IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing (CCGrid)",conference proceeding,IEEE,y,y,Agree - Yes,Relevant,Yes,Relevant,Yes,Included,
Measuring and Mitigating the Risk of IP Reuse on Public Clouds,2022,Proceedings - IEEE Symposium on Security and Privacy,10.1109/SP46214.2022.9833784,A*,IEEE,2022 IEEE Symposium on Security and Privacy (SP),conference proceeding,IEEE,y,y,Agree - Yes,Relevant,Yes,Relevant,Yes,Included,
Defining Intercloud Security Framework and Architecture Components for Multi-cloud Data Intensive Applications,2017,"Proceedings - 2017 17th IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing, CCGRID 2017",10.1109/CCGRID.2017.144,A,IEEE,"2017 17th IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing (CCGRID)",conference proceeding,IEEE,y,y,Agree - Yes,Relevant,Yes,Relevant,Yes,Included,
Checking Security Properties of Cloud Service REST APIs,2020,"Proceedings - 2020 IEEE 13th International Conference on Software Testing, Verification and Validation, ICST 2020",10.1109/ICST46399.2020.00046,A,IEEE,"2020 IEEE 13th International Conference on Software Testing, Validation and Verification (ICST)",conference proceeding,IEEE,y,y,Agree - Yes,Relevant,Yes,Relevant,Yes,Included,
Restricting the Number of Times That Data Can Be Accessed in Cloud Storage Using TrustZone,2022,"Proceedings - 22nd IEEE/ACM International Symposium on Cluster, Cloud and Internet Computing, CCGrid 2022",10.1109/CCGrid54584.2022.00038,A,IEEE,"2022 22nd International Symposium on Cluster, Cloud and Internet Computing (CCGrid)",conference proceeding,IEEE,y,y,Agree - Yes,Relevant,Yes,Relevant,Yes,Included,
Cost-Effective Malware Detection as a Service over Serverless Cloud Using Deep Reinforcement Learning,2020,"Proceedings - 20th IEEE/ACM International Symposium on Cluster, Cloud and Internet Computing, CCGRID 2020",10.1109/CCGrid49817.2020.00-51,A,IEEE,"2020 20th IEEE/ACM International Symposium on Cluster, Cloud and Internet Computing (CCGRID)",conference proceeding,IEEE,y,y,Agree - Yes,Relevant,Yes,Relevant,Yes,Included,
HPISecure: Towards data confidentiality in cloud applications,2013,"Proceedings - 13th IEEE/ACM International Symposium on Cluster, Cloud, and Grid Computing, CCGrid 2013",10.1109/CCGrid.2013.109,A,IEEE,"2013 13th IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing (CCGrid)",conference proceeding,IEEE,y,y,Agree - Yes,Relevant,Yes,Relevant,Yes,Included,
Cloud-Trust-a Security Assessment Model for Infrastructure as a Service (IaaS) Clouds,2017,IEEE Transactions on Cloud Computing,10.1109/TCC.2015.2415794,Q1,Institute of Electrical and Electronics Engineers Inc.,,journal,IEEE,y,y,Agree - Yes,Relevant,Yes,Relevant,Yes,Included,
A scalable and dynamic application-level secure communication framework for inter-cloud services,2015,Future Generation Computer Systems,10.1016/j.future.2015.01.018,Q1,Elsevier,,journal,Elsevier,y,y,Agree - Yes,Relevant,Yes,Relevant,Yes,Included,
